,index,Company,Price,Adj Close,low Price,High Price,Volume,returns
163,2020-09-14,MSFT,204.866484596,204.866484596,204.03,209.2,30375768,0.6763711217230116
164,2020-09-11,MSFT,203.49013608,203.49013608,201.24,208.63,33620073,-0.6524808884181816
165,2020-09-10,MSFT,204.82659043700002,204.82659043700002,204.11,214.74,35461514,-2.801836338521152
166,2020-09-09,MSFT,210.730926101,210.730926101,206.7,214.8399,45678986,4.258363761879181
167,2020-09-08,MSFT,202.123761104,202.123761104,202.2,210.03,52924330,-5.4095682612235025
168,2020-09-04,MSFT,213.68309393299998,213.68309393299998,205.19,218.3599,59664072,-1.4035895076257947
169,2020-09-03,MSFT,216.725023625,216.725023625,214.9602,229.31,58400288,-6.194690265475235
170,2020-09-02,MSFT,231.037053487,231.037053487,227.35,232.86,34080839,1.9272231264933715
171,2020-09-01,MSFT,226.66864297900003,226.66864297900003,224.43,227.45,25791235,0.7715159848390928
172,2020-08-31,MSFT,224.93324702299998,224.93324702299998,224.31,228.7,28774156,-1.4765628412685627
173,2020-08-28,MSFT,228.304303534,228.304303534,226.58,230.644,26292896,1.0283343632140813
174,2020-08-27,MSFT,225.98046872,225.98046872,219.4,231.15,57602195,2.455347049225458
175,2020-08-26,MSFT,220.564836515,220.564836515,217.36,222.09,39600828,2.1619623968166817
176,2020-08-25,MSFT,215.897219807,215.897219807,213.1,216.61,23043696,1.300949973956965
177,2020-08-24,MSFT,213.124575695,213.124575695,212.43,215.52,25460147,0.3145244581616675
178,2020-08-21,MSFT,212.456348516,212.456348516,212.85,216.25,36249319,-0.727001584551095
179,2020-08-20,MSFT,214.01222075200002,214.01222075200002,208.91,215.0,26981478,2.3271340009133894
180,2020-08-19,MSFT,209.145133245,209.145133245,209.25,212.1,27627561,-0.6052295618132527
181,2020-08-18,MSFT,210.418649113,210.418649113,209.21,212.36,21336167,0.5754232453379822
182,2020-08-17,MSFT,209.214778644,209.214778644,208.915,211.1874,20063496,0.6606031594614159
183,2020-08-14,MSFT,207.841769349,207.841769349,207.51,209.59,17958936,0.09583133668746181
184,2020-08-13,MSFT,207.642782495,207.642782495,208.15,211.35,22588870,-0.23423681814968458
185,2020-08-12,MSFT,208.130300288,208.130300288,204.75,210.28,28041364,2.8567214080340686
186,2020-08-11,MSFT,202.34973217,202.34973217,203.14,207.65,36446459,-2.3385354141754893
187,2020-08-10,MSFT,207.195062073,207.195062073,206.35,211.88,36716462,-1.9907756023550156
188,2020-08-07,MSFT,211.40363404200002,211.40363404200002,210.93,215.7,27820421,-1.78876819953115
189,2020-08-06,MSFT,215.254029673,215.254029673,211.55,216.3705,32656843,1.6013900627604278
190,2020-08-05,MSFT,211.861303807,211.861303807,211.57,215.0,28858621,-0.16409583192797983
191,2020-08-04,MSFT,212.20953080200002,212.20953080200002,210.31,214.77,49280056,-1.500877436090041
192,2020-08-03,MSFT,215.443067185,215.443067185,210.44,217.64,78983009,5.624115896668415
193,2020-07-31,MSFT,203.971475033,203.971475033,199.01,205.1,51247969,0.544384502433709
194,2020-07-30,MSFT,202.86709799099998,202.86709799099998,199.57,204.46,25079596,-0.0784083110520456
195,2020-07-29,MSFT,203.02628747400001,203.02628747400001,202.01,204.65,19632602,1.009801009712066
196,2020-07-28,MSFT,200.99662156,200.99662156,201.74,204.7,23251388,-0.8977189108999479
197,2020-07-27,MSFT,202.817351277,202.817351277,200.86,203.97,30160867,1.2667660204993947
198,2020-07-24,MSFT,200.280268885,200.280268885,197.51,202.86,39826989,-0.6122247457995627
199,2020-07-23,MSFT,201.513987382,201.513987382,202.15,210.92,67457035,-93.53379880176614
200,2020-12-11,AMZN,3116.42,3116.42,3072.82,3118.67,3064695,0.48138152952291613
201,2020-12-10,AMZN,3101.49,3101.49,3076.0,3142.1,3030186,-0.0873010759616016
202,2020-12-09,AMZN,3104.2,3104.2,3088.0,3174.43,4100836,-2.3003880665598717
203,2020-12-08,AMZN,3177.29,3177.29,3120.02,3184.13,3286303,0.6108296390120318
204,2020-12-07,AMZN,3158.0,3158.0,3141.69,3180.76,2751316,-0.14481847099519782
205,2020-12-04,AMZN,3162.58,3162.58,3158.76,3198.21,2913611,-0.7578301268071062
206,2020-12-03,AMZN,3186.73,3186.73,3181.31,3228.64,2892039,-0.5244214975355367
207,2020-12-02,AMZN,3203.53,3203.53,3173.2601,3232.0,3129304,-0.5139623860276679
208,2020-12-01,AMZN,3220.08,3220.08,3157.18,3248.95,4493554,1.642656027070364
209,2020-11-30,AMZN,3168.04,3168.04,3125.55,3228.39,4063916,-0.8543691751112614
210,2020-11-27,AMZN,3195.34,3195.34,3190.05,3216.19,2392867,0.3224418929568261
211,2020-11-25,AMZN,3185.07,3185.07,3140.26,3198.0,3790403,2.1490927050794477
212,2020-11-24,AMZN,3118.06,3118.06,3086.258,3134.25,3570889,0.6348458392907308
213,2020-11-23,AMZN,3098.39,3098.39,3065.46,3139.745,4708887,-0.032586952313358016
214,2020-11-20,AMZN,3099.4,3099.4,3098.0456,3132.89,3380138,-0.5652835079659383
215,2020-11-19,AMZN,3117.02,3117.02,3080.92,3125.0,3010270,0.37224758972905614
216,2020-11-18,AMZN,3105.46,3105.46,3105.1,3140.0,2916836,-0.9631146233966634
